Rocket,Country,Type,Launches,Successes,Failures,Partial failures,Remarks
Antares 230+,United States,Antares,1,1,0,0,
Ariane 5 ECA,Europe,Ariane 5,2,2,0,0,
Atlas V 411,United States,Atlas V,1,1,0,0,
Atlas V 501,United States,Atlas V,1,1,0,0,
Atlas V 551,United States,Atlas V,1,1,0,0,
Electron,United States,Electron,3,2,1,0,
Falcon 9 Block 5,United States,Falcon 9,10,10,0,0,
H-IIA 202,Japan,H-IIA,1,1,0,0,
H-IIB,Japan,H-IIB,1,1,0,0,Final flight
Kuaizhou 1A,China,Kuaizhou,2,2,0,0,
Kuaizhou 11,China,Kuaizhou,1,0,1,0,Maiden flight
LauncherOne,United States,LauncherOne,1,0,1,0,Maiden flight
Long March 2C,China,Long March 2,2,2,0,0,
Long March 2D,China,Long March 2,5,5,0,0,
Long March 3B/E,China,Long March 3,5,4,1,0,
Long March 4B,China,Long March 4,1,1,0,0,
Long March 5B,China,Long March 5,1,1,0,0,Maiden flight
Long March 7A,China,Long March 7,1,0,1,0,Maiden flight
Long March 11,China,Long March 11,1,1,0,0,
Qased,Iran,Qased,1,1,0,0,Maiden flight
Shavit,Israel,Shavit,1,1,0,0,
Simorgh,Iran,Simorgh,1,0,1,0,
Soyuz-2.1a,Russia,Soyuz-2,2,2,0,0,
Soyuz-2.1a / Fregat-M or ST-A,Russia,Soyuz-2,1,1,0,0,
Soyuz-2.1b / Fregat-M or ST-B,Russia,Soyuz-2,4,4,0,0,
